Source Node,Destination Node
alliums,fruit trees
alliums,nightshades
alliums,tomatoes
alliums,peppers
alliums,potatoes
alliums,brassicas
alliums,carrots
asparagus,tomatoes
asparagus,parsley
"beans, bush",cucumbers
"beans, bush",strawberries
beets,broccoli
beets,"beans, bush"
beets,cabbage
beets,lettuce
beets,kohlrabi
beets,onions
beets,brassicas
beets,passion fruit
brassicas,beets
brassicas,onions
brassicas,potatoes
brassicas,corn
brassicas,wheat
broccoli,lettuce
cabbage,beans
cabbage,celery
carrots,tomatoes
carrots,alliums
carrots,beans
carrots,leeks
carrots,lettuce
carrots,onions
carrots,passion fruit
cauliflower,beans
cauliflower,celery
cauliflower,spinach
cauliflower,peas
celery,"beans, bush"
celery,brassicas
celery,cucumbers
chard,brassicas
chard,passion fruit
corn,beans
corn,cucurbits
corn,soybeans
corn,tomatoes
maize,beans
maize,cucurbits
maize,soybeans
maize,tomatoes
cucumbers,beans
cucumbers,kohlrabi
cucumbers,lettuce
cucurbits,corn
eggplant,beans
eggplant,peppers
eggplant,tomatoes
eggplant,passion fruit
kohlrabi,onions
kohlrabi,beets
kohlrabi,cucumbers
leeks,carrots
leeks,celery
leeks,onions
leeks,tomatoes
leeks,passion fruit
legumes,beets
legumes,lettuce
legumes,okra
legumes,potatoes
legumes,spinach
legumes,dill
legumes,cabbage
legumes,carrots
legumes,chard
legumes,eggplant
legumes,peas
legumes,tomatoes
legumes,brassicas
legumes,corn
legumes,cucumbers
legumes,grapes
lettuce,beets
lettuce,beans
lettuce,okra
lettuce,onions
lettuce,radishes
lettuce,broccoli
lettuce,carrots
lettuce,passion fruit
mustard,beans
mustard,broccoli
mustard,cabbage
mustard,cauliflower
mustard,fruit trees
mustard,grapes
mustard,radishes
mustard,brussels sprouts
mustard,turnips
okra,sweet potatoes
okra,tomatoes
okra,peppers
onions,beets
onions,brassicas
onions,cabbage
onions,broccoli
onions,carrots
onions,lettuce
onions,cucumbers
onions,peppers
onions,passion fruit
onions,strawberries
onions,green onions
onions,chinese cabbage
parsnip,fruit trees
peas,brassicas
peas,turnips
peas,cauliflower
peas,garlic
peppers,okra
potatoes,brassicas
potatoes,beans
potatoes,corn
potatoes,peas
potatoes,passion fruit
pumpkins,corn
pumpkins,beans
radishes,squash
radishes,eggplant
radishes,cucumbers
radishes,lettuce
radishes,peas
radishes,beans
radishes,"beans, pole"
spinach,brassicas
spinach,cauliflower
spinach,passion fruit
squash,corn
squash,beans
squash,okra
sweet potatoes,okra
tomatoes,celery
tomatoes,roses
tomatoes,peppers
tomatoes,asparagus
turnips,peas
turnips,broccoli
rutabagas,peas
rutabagas,broccoli
strawberries,"beans, bush"
strawberries,lettuce
strawberries,onions
strawberries,spinach
strawberries,passion fruit
basil,tomatoes
basil,peppers
basil,oregano
basil,asparagus
basil,petunias
basil,grapes
borage,beans
borage,strawberries
borage,cucurbits
borage,cucumbers
borage,squash
borage,fruit trees
borage,tomatoes
borage,cabbage
caraway,strawberries
catnip,eggplant
chamomile,anise
chamomile,basil
chamomile,borage
chamomile,caraway
chamomile,catnip
chamomile,chervil
chamomile,chives
chamomile,cilantro
chamomile,coriander
chamomile,dill
chamomile,fennel
chamomile,flax
chamomile,garlic
chamomile,hyssop
chamomile,lavender
chamomile,lemon grass
chamomile,lovage
chamomile,oregano
chamomile,parsley
chamomile,peppermint
chamomile,rosemary
chamomile,sage
chamomile,southernwood
chamomile,spearmint
chamomile,stinging nettle
chamomile,summer savory
chamomile,tarragon
chamomile,thyme
chamomile,wormwood
chamomile,yarrow
chamomile,brassicas
chamomile,cucumbers
chamomile,wheat
chamomile,onions
chamomile,cabbage
chervil,radishes
chervil,lettuce
chervil,broccoli
chives,apples
chives,carrots
chives,grapes
chives,roses
chives,tomatoes
chives,brassicas
chives,broccoli
chives,cabbage
chives,mustard
cilantro,anise
cilantro,cabbage
cilantro,spinach
cilantro,lettuce
cilantro,tomatoes
coriander,anise
coriander,cabbage
coriander,spinach
