Source Node,Destination Node
alliums,beans
alliums,peas
asparagus,onions
asparagus,garlic
asparagus,potatoes
asparagus,gladiolus
"beans, bush",fennel
"beans, bush",soybeans
"beans, bush",alfalfa
"beans, pole",sunflowers
"beans, pole",beets
"beans, pole",brassicas
"beans, pole",kohlrabi
brassicas,mustard
brassicas,nightshades
brassicas,tomatoes
brassicas,peppers
brassicas,strawberries
cabbage,grapes
carrots,dill
carrots,parsnip
carrots,radishes
celery,corn
corn,tomatoes
corn,celery
maize,tomatoes
maize,celery
cucumbers,potatoes
legumes,alliums
legumes,gladiolus
lettuce,celery
lettuce,cabbage
lettuce,cress
lettuce,parsley
nightshades,beans
nightshades,corn
nightshades,fennel
nightshades,dill
nightshades,brassicas
onions,lentils
onions,peas
onions,beans
peppers,beans
potatoes,atriplex
potatoes,carrots
potatoes,cucumbers
potatoes,pumpkins
potatoes,raspberries
potatoes,squash
potatoes,sunflowers
potatoes,tomatoes
pumpkins,potatoes
radishes,grapes
tomatoes,alfalfa
tomatoes,corn
tomatoes,fennel
tomatoes,peas
tomatoes,dill
tomatoes,potatoes
tomatoes,beets
tomatoes,brassicas
tomatoes,rosemary
turnips,knotweed
rutabagas,knotweed
apples,cedar
apples,walnut
apricot,peppers
blueberries,tomatoes
grapes,cabbage
grapes,garlic
grapes,radishes
passion fruit,cucurbits
passion fruit,maize
passion fruit,cowpea
passion fruit,sorghum
passion fruit,okra
strawberries,brassicas
strawberries,tomatoes
strawberries,potatoes
strawberries,eggplant
strawberries,peppers
strawberries,melons
strawberries,okra
strawberries,mints
strawberries,"beans, bush"
strawberries,chrysanthemums
strawberries,roses
basil,thyme
caraway,dill
chervil,radishes
chives,beans
chives,peas
dill,carrots
dill,tomatoes
garlic,cabbage
garlic,grapes
hyssop,radishes
lovage,rhubarb
parsley,alliums
parsley,lettuce
sage,alliums
geraniums,tomatoes
geraniums,tobacco
geraniums,nightshades
lupin,tomatoes
lupin,nightshades
nasturtiums,cauliflower
"beans, bush",dry beans
beets,"beans, pole"
brassicas,"beans, pole"
celery,aster
cucumbers,aromatic herbs
leeks,chard
nightshades,walnut
peppers,kale cabbage
peppers,brussels sprouts
tomatoes,walnut
tomatoes,chili peppers
turnips,hedge mustard
rutabagas,hedge mustard
passion fruit,sweet potatoes
strawberries,bramble fruits
strawberries,stone fruits
basil,common rue
sage,common rue
sunflowers,"beans, pole"
alliums,beans peas
asparagus,onion
asparagus,gladioluscitation needed
beets,runner or pole beans
brassicas,mustards
brassicas,nightshades (tomatoes
brassicas,etc.)
brassicas,pole beans
celery,aster flowers
corn / maize,tomato
corn / maize,celery
cucumber,potato
cucumber,aromatic herbs
leek,swiss chard
legumes,gladiolas
nightshades,black walnuts
onion,lentils
onion,peas
peppers,kale (cabbage
peppers,etc.)
potato,atriplex
potato,carrot
potato,cucumbers
potato,pumpkins
potato,raspberries
potato,squash
potato,sunflowers
potato,tomato
pumpkin,potatoes
radish,grapes
tomatoes,black walnut
turnips and rutabagas,hedge mustard
turnips and rutabagas,knotweed
